playerHP,enemyHP,playerLastAction,enemyLastAction,turnNumber,playerStreak,enemyStreak,playerDeltaHP,enemyDeltaHP,playerNextAction
1,0.8,0,2,1,1,1,0,-10,0
1,0.6,1,0,2,2,2,0,-10,1
1,0.6,1,1,3,3,3,0,0,1
0.8,0.6,0,1,4,4,4,-10,0,0
0.8,0.6,1,1,5,5,5,0,0,1
0.8,0.6,0,0,6,6,6,0,0,0
0.8,0.4,0,2,7,7,7,0,-10,0
0.8,0.4,1,1,8,8,8,0,0,1
0.8,0.8,1,2,9,9,9,0,20,1
0.8,0.6,0,2,10,10,10,0,-10,0
0.8,0.6,0,0,11,11,11,0,0,0
0.8,0.4,1,0,12,12,12,0,-10,1
0.8,0.8,1,2,13,13,13,0,20,1
0.8,0.6,0,2,14,14,14,0,-10,0
0.8,0.6,1,1,15,15,15,0,0,1
0.8,1,1,2,16,16,16,0,20,1
0.8,1,0,0,17,17,17,0,0,0
0.8,1,1,1,18,18,18,0,0,1
0.8,1,0,0,19,19,19,0,0,0
0.8,0.8,0,2,20,20,20,0,-10,0
0.8,0.6,1,0,21,21,21,0,-10,1
0.8,0.4,1,0,22,22,22,0,-10,1
0.8,0.8,1,2,23,23,23,0,20,1
0.8,0.6,0,2,24,24,24,0,-10,0
0.8,1,1,2,25,25,25,0,20,1
0.6,1,0,1,26,26,26,-10,0,0
1,1,2,2,27,27,27,20,0,2
1,0.8,1,0,28,28,28,0,-10,1
1,0.6,1,0,29,29,29,0,-10,1
1,0.6,0,0,30,30,30,0,0,0
0.8,0.6,0,1,31,31,31,-10,0,0
0.8,1,1,2,32,32,32,0,20,1
0.6,1,0,1,33,33,33,-10,0,0
1,1,2,2,34,34,34,20,0,2
1,1,0,0,35,35,35,0,0,0
0.8,1,0,1,36,36,36,-10,0,0
0.8,1,1,2,37,37,37,0,0,1
0.8,0.8,1,0,38,38,38,0,-10,1
0.8,0.6,1,0,39,39,39,0,-10,1
0.8,1,1,2,40,40,40,0,20,1
0.8,1,1,2,41,41,41,0,0,1
0.8,0.8,1,0,42,42,42,0,-10,1
0.8,0.8,0,0,43,43,43,0,0,0
0.8,0.8,0,0,44,44,44,0,0,0
0.8,0.8,0,0,45,45,45,0,0,0
0.8,0.8,0,0,46,46,46,0,0,0
0.8,0.8,1,1,47,47,47,0,0,1
0.6,0.8,0,1,48,48,48,-10,0,0
1,1,2,2,49,49,49,20,0,2
1,0.8,1,0,50,50,50,0,-10,1
1,0.6,1,0,51,51,51,0,-10,1
